,CH,CU,FC,FF,FT,batter,stand_L,home_team,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,prev_CH,prev_CU,prev_FC,prev_FF,prev_FT,ball,blocked_ball,called_strike,foul,foul_bunt,foul_tip,hit_by_pitch,hit_into_play,hit_into_play_no_out,hit_into_play_score,missed_bunt,swinging_strike,swinging_strike_blocked,release_speed,zone,pfx_x,pfx_z,plate_x,plate_z
5025,1,0,0,0,0,570731,0,0,1,2,0,0,0,1,5,45,4,3,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78.5,13.0,-0.3258,-0.685,-1.0832,1.5298
5026,0,1,0,0,0,570731,0,0,1,1,0,0,0,1,5,45,3,3,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83.4,14.0,1.7394,0.6602,1.1867,0.991
5027,1,0,0,0,0,570731,0,0,0,1,0,0,0,1,5,45,2,3,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78.7,8.0,-0.3346,-0.8839,-0.0304,1.6512
5028,0,1,0,0,0,570731,0,0,0,0,0,0,0,1,5,45,1,3,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79.0,5.0,-0.2326,-0.5153,0.108,2.258
5029,0,1,0,0,0,592518,0,0,1,0,0,0,0,0,5,44,2,3,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,90.4,14.0,1.6496,1.0739,1.3311,2.324
5030,0,0,0,0,1,592518,0,0,0,0,0,0,0,0,5,44,1,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,91.5,9.0,1.3641,0.8754,0.4577,2.1604
5031,0,0,0,0,1,430945,0,0,2,0,0,0,1,0,5,43,3,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,81.9,12.0,1.4369999999999998,0.8007,1.2176,3.384
5032,1,0,0,0,0,430945,0,0,1,0,0,0,1,0,5,43,2,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77.9,13.0,-0.5866,-0.5998,-0.6877,1.2936
5033,0,1,0,0,0,430945,0,0,0,0,0,0,1,0,5,43,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,78.3,6.0,-0.1008,-0.59,0.7253,2.4882
5034,0,1,0,0,0,572073,0,0,0,2,0,0,0,0,5,42,3,1,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,91.0,9.0,1.4891,1.1022,0.5660000000000001,1.7906
5035,0,0,0,0,1,572073,0,0,0,1,0,0,0,0,5,42,2,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88.8,4.0,1.0049,0.9973,-0.3326,2.2004
5036,1,0,0,0,0,572073,0,0,0,0,0,0,0,0,5,42,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,83.0,9.0,1.3824,0.8125,0.8269,1.758
5037,1,0,0,0,0,514913,0,0,1,0,1,1,1,2,4,35,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82.8,12.0,0.8859999999999999,0.9801,1.7582,3.5867
5038,1,0,0,0,0,514913,0,0,0,0,1,1,1,2,4,35,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,93.2,13.0,1.0425,1.1305,-0.9691,1.0395
5039,0,0,0,0,1,456078,0,0,3,0,0,1,1,2,4,34,4,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83.4,14.0,1.3423,0.9502,1.6869,2.0749
5040,1,0,0,0,0,456078,0,0,2,0,0,1,1,2,4,34,3,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,84.2,12.0,1.2865,0.9307,1.5575,2.6552
5041,1,0,0,0,0,456078,0,0,1,0,0,1,1,2,4,34,2,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90.0,11.0,0.2574,1.1415,-1.6115,2.8795
5042,0,0,1,0,0,456078,0,0,0,0,0,1,1,2,4,34,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78.9,13.0,-0.5643,-0.5697,-2.154,-0.017
5043,0,1,0,0,0,641820,0,0,0,2,0,0,1,2,4,33,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79.4,7.0,-0.5367,-0.5043,-0.4699,1.3813
5044,0,1,0,0,0,641820,0,0,0,1,0,0,1,2,4,33,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78.6,5.0,-0.63,-0.7399,0.1944,2.6177
5045,0,1,0,0,0,641820,0,0,0,0,0,0,1,2,4,33,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80.5,13.0,-0.5609,-0.8712,-0.7375,0.515
5046,0,1,0,0,0,448801,1,0,1,2,0,0,1,1,4,32,4,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,84.2,14.0,1.3848,0.8538,1.2044,1.3612
5047,1,0,0,0,0,448801,1,0,0,2,0,0,1,1,4,32,3,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78.8,4.0,-0.3832,-0.6059,-0.768,2.4507
5048,0,1,0,0,0,448801,1,0,0,1,0,0,1,1,4,32,2,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,92.1,9.0,1.295,0.9804,0.5298,2.2834
5049,0,0,0,0,1,448801,1,0,0,0,0,0,1,1,4,32,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82.7,14.0,1.525,0.8151,1.3002,0.8684
5050,1,0,0,0,0,444432,0,0,3,2,0,0,0,1,4,31,7,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,91.8,12.0,1.5221,0.7159,0.9139,4.4962
5051,0,0,0,0,1,444432,0,0,2,2,0,0,0,1,4,31,6,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,93.4,8.0,1.0633,0.6265,-0.0098,1.8648
5052,0,0,0,0,1,444432,0,0,2,2,0,0,0,1,4,31,5,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82.4,14.0,1.3879,1.0596,1.4892,1.6584
5053,1,0,0,0,0,444432,0,0,1,2,0,0,0,1,4,31,4,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79.3,13.0,-0.1125,-0.5036,-1.5618,0.7886
5054,0,1,0,0,0,444432,0,0,0,2,0,0,0,1,4,31,3,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,79.0,2.0,-0.1559,-0.3567,0.1175,2.9958
5055,0,1,0,0,0,444432,0,0,0,1,0,0,0,1,4,31,2,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,91.7,9.0,1.3127,1.3199,0.6194,1.8011
5056,0,0,0,0,1,444432,0,0,0,0,0,0,0,1,4,31,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88.1,4.0,0.2865,0.6684,-0.7208,2.688
5057,0,0,1,0,0,570731,0,0,2,0,0,0,0,1,4,30,3,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,91.8,11.0,0.6331,1.0167,-0.2024,4.0545
5058,0,0,0,1,0,570731,0,0,1,0,0,0,0,1,4,30,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77.2,12.0,-0.4651,-0.2336,1.5642,5.01
5059,0,1,0,0,0,570731,0,0,0,0,0,0,0,1,4,30,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,87.9,4.0,0.1949,0.8153,-0.7822,2.6767
5060,0,0,1,0,0,592518,0,0,1,0,0,0,0,0,4,29,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,91.6,11.0,0.7036,1.3948,-1.5254,2.7954
5061,0,0,0,1,0,592518,0,0,0,0,0,0,0,0,4,29,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,89.9,8.0,0.4641,0.7297,0.2271,1.9601
5062,0,0,1,0,0,430945,0,0,0,0,0,1,0,2,3,22,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,92.9,6.0,1.6918,1.1343,0.6669,2.0
5063,0,0,0,0,1,572073,0,0,1,1,0,1,0,1,3,21,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79.2,2.0,-0.2749,-0.8746,0.0865,2.7844
5064,0,1,0,0,0,572073,0,0,1,0,0,1,0,1,3,21,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,92.4,14.0,1.6221,1.1621,1.4253,1.8607
5065,0,0,0,0,1,572073,0,0,0,0,0,1,0,1,3,21,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,92.9,4.0,0.7152,1.5273,-0.6932,2.0248
5066,0,0,0,1,0,514913,0,0,3,2,0,0,0,1,3,20,8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,93.3,7.0,0.9765,0.7854,-0.59,1.4899
5067,0,0,0,0,1,514913,0,0,3,2,0,0,0,1,3,20,7,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,93.9,13.0,1.2114,1.2341,-1.1672,1.8503
5068,0,0,0,0,1,514913,0,0,2,2,0,0,0,1,3,20,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,92.5,1.0,0.7748,0.7159,-0.4237,3.0072
5069,0,0,0,0,1,514913,0,0,2,2,0,0,0,1,3,20,5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,92.2,3.0,1.4798,1.055,0.8098,2.4627
5070,0,0,0,0,1,514913,0,0,2,1,0,0,0,1,3,20,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,93.1,12.0,1.7264,1.2007,1.3783,3.1144
5071,0,0,0,0,1,514913,0,0,1,1,0,0,0,1,3,20,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,93.0,12.0,1.3231,0.9203,1.6533,3.9058
5072,0,0,0,0,1,514913,0,0,0,1,0,0,0,1,3,20,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,91.7,3.0,1.3392,0.9891,0.5144,2.9639
5073,0,0,0,0,1,514913,0,0,0,0,0,0,0,1,3,20,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,91.3,4.0,1.1396,0.7357,-0.3645,2.5272
5074,0,0,0,0,1,456078,0,0,0,2,0,0,0,0,3,19,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,90.0,1.0,0.2861,1.1477,-0.585,3.1383
5075,0,0,1,0,0,456078,0,0,0,1,0,0,0,0,3,19,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,91.8,6.0,1.0686,1.3398,0.4851,2.3692
5076,0,0,0,1,0,456078,0,0,0,0,0,0,0,0,3,19,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,92.0,13.0,0.6101,1.456,-1.3455,2.1301
5077,0,0,0,1,0,641820,0,0,1,1,0,0,0,2,2,14,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,83.6,9.0,0.6579,0.9124,0.4667,1.8687
5078,1,0,0,0,0,641820,0,0,1,0,0,0,0,2,2,14,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,89.7,11.0,0.023,0.9781,-0.9099,4.3995
5079,0,0,1,0,0,641820,0,0,0,0,0,0,0,2,2,14,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,92.8,8.0,1.0833,1.0094,0.1226,1.4485
5080,0,0,0,0,1,448801,1,0,1,1,0,0,0,1,2,13,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,92.3,14.0,1.3785,0.9323,1.7525,2.406
5081,0,0,0,0,1,448801,1,0,0,1,0,0,0,1,2,13,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,91.7,5.0,1.0752,0.7635,0.2162,2.5716
5082,0,0,0,0,1,448801,1,0,0,0,0,0,0,1,2,13,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,92.5,2.0,0.9713,1.1552,-0.0627,3.4017
5083,0,0,0,1,0,444432,0,0,3,1,0,0,0,0,2,12,5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83.4,12.0,0.9486,1.1532,1.558,3.9241
5084,1,0,0,0,0,444432,0,0,2,1,0,0,0,0,2,12,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79.2,13.0,-0.2329,-0.6306,-2.3655,-1.3335
5085,0,1,0,0,0,444432,0,0,1,1,0,0,0,0,2,12,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,89.2,13.0,0.4078,0.9658,-1.3568,1.5874
5086,0,0,1,0,0,444432,0,0,0,1,0,0,0,0,2,12,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,91.1,6.0,1.0768,1.144,0.4393,2.408
5087,0,0,0,0,1,444432,0,0,0,0,0,0,0,0,2,12,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,88.4,9.0,0.0673,0.5692,0.4916,1.9317
5088,0,0,1,0,0,570731,0,0,2,2,0,0,0,2,1,7,6,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,80.4,7.0,-0.2532,-0.3762,-0.768,1.8731
5089,0,1,0,0,0,570731,0,0,2,2,0,0,0,2,1,7,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80.3,13.0,-0.5592,-0.8284,-0.0823,1.097
5090,0,1,0,0,0,570731,0,0,1,2,0,0,0,2,1,7,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,84.5,9.0,1.5675,0.8501,0.7955,1.9194
5091,1,0,0,0,0,570731,0,0,1,1,0,0,0,2,1,7,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79.4,8.0,-0.5247,-0.6322,0.031,1.6488
5092,0,1,0,0,0,570731,0,0,1,0,0,0,0,2,1,7,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79.6,14.0,-0.2231,-0.679,1.5219,2.1133
5093,0,1,0,0,0,570731,0,0,0,0,0,0,0,2,1,7,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,93.3,14.0,1.7423,1.0687,0.8843,2.5586
5094,0,0,0,0,1,592518,0,0,3,1,0,0,0,1,1,6,5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82.5,14.0,0.6579999999999999,0.9823,2.1406,2.0694
5095,1,0,0,0,0,592518,0,0,2,1,0,0,0,1,1,6,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,92.0,13.0,0.6695,1.4232,-1.4538,2.5413
5096,0,0,0,1,0,592518,0,0,1,1,0,0,0,1,1,6,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78.6,4.0,-0.4785,-0.7216,-0.3325,2.8545
5097,0,1,0,0,0,592518,0,0,1,0,0,0,0,1,1,6,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,92.2,12.0,1.2331,0.9758,1.621,3.6876
5098,0,0,0,0,1,592518,0,0,0,0,0,0,0,1,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80.0,5.0,-0.4721,-0.2516,0.2,2.3042
5099,0,1,0,0,0,430945,0,0,1,2,0,0,0,0,1,5,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88.7,8.0,-0.3344,0.7764,-0.1711,2.0275
5100,0,0,1,0,0,430945,0,0,1,1,0,0,0,0,1,5,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,88.1,11.0,-0.2553,0.6082,-1.2588,3.4958
5101,0,0,1,0,0,430945,0,0,0,1,0,0,0,0,1,5,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,91.1,2.0,0.4569,1.3564,-0.218,3.6021
5102,1,0,0,0,0,593160,0,0,1,0,0,0,0,2,8,53,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79.0,12.0,-0.5891,-0.7315,1.7987,5.0998
5103,0,1,0,0,0,593160,0,0,0,0,0,0,0,2,8,53,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,93.7,3.0,0.8285,0.6762,0.7269,2.5287
5104,0,0,0,0,1,460086,1,0,0,1,0,0,0,1,8,52,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,93.3,5.0,0.2542,1.108,0.0428,2.1522
5105,0,0,0,1,0,460086,1,0,0,0,0,0,0,1,8,52,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90.8,2.0,0.3306,0.9585,0.0971,2.7866
5106,0,0,1,0,0,461235,1,0,0,0,0,0,0,0,8,51,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,84.5,6.0,0.5539,0.9907,0.3835,2.4048
5107,1,0,0,0,0,444876,0,0,0,2,0,0,0,2,7,47,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92.7,5.0,0.4298,0.9351,0.0136,2.5548
5108,0,0,0,1,0,444876,0,0,0,2,0,0,0,2,7,47,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,89.7,11.0,-0.2634,0.738,-1.9323,2.596
5109,0,0,1,0,0,444876,0,0,0,1,0,0,0,2,7,47,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,83.9,2.0,0.6035,0.4624,-0.0028,2.7217
5110,1,0,0,0,0,444876,0,0,0,0,0,0,0,2,7,47,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,94.0,6.0,1.0178,0.4268,0.4719,2.0107
5111,0,0,0,0,1,519058,1,0,3,2,0,0,0,1,7,46,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,84.6,6.0,0.6461,1.026,0.4244,2.1508
5112,1,0,0,0,0,519058,1,0,3,2,0,0,0,1,7,46,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,92.8,12.0,0.7992,0.3976,1.7276,2.8198
5113,0,0,0,0,1,519058,1,0,2,2,0,0,0,1,7,46,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85.5,14.0,0.8048,0.7172,0.3178,0.4878
5114,1,0,0,0,0,519058,1,0,1,2,0,0,0,1,7,46,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,83.9,13.0,0.3369,0.7306,-0.5693,0.8565
5115,1,0,0,0,0,519058,1,0,1,1,0,0,0,1,7,46,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,92.2,14.0,1.1498,0.6509999999999999,1.3719,1.793
5116,0,0,0,0,1,519058,1,0,0,1,0,0,0,1,7,46,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79.0,7.0,-0.4157,-0.8598,-0.4222,2.1996
5117,0,1,0,0,0,519058,1,0,0,0,0,0,0,1,7,46,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,92.0,4.0,1.0277,0.6546,-0.3918,2.0897
5118,0,0,0,0,1,521692,0,0,1,2,0,0,0,0,7,45,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,80.1,6.0,-0.5377,-0.7683,0.3715,2.5041
5119,0,1,0,0,0,521692,0,0,1,2,0,0,0,0,7,45,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,91.2,11.0,0.0213,0.7863,-1.1715,2.7599
5120,0,0,1,0,0,521692,0,0,1,1,0,0,0,0,7,45,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,77.2,3.0,-0.5948,-0.6582,0.5035,3.2694
5121,0,1,0,0,0,521692,0,0,1,0,0,0,0,0,7,45,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78.0,11.0,-0.875,-0.64,-1.0273,2.8617
5122,0,1,0,0,0,521692,0,0,0,0,0,0,0,0,7,45,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,91.6,12.0,0.8368,0.9587,0.9754,2.8871
5123,0,0,0,1,0,543333,1,0,0,0,0,0,1,2,6,41,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,92.5,6.0,0.4381,1.1247,0.5174,2.5636
5124,0,0,0,1,0,456715,0,0,0,1,0,0,0,2,6,40,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,92.6,3.0,0.3055,0.9429,0.3504,3.5555
5125,0,0,0,1,0,456715,0,0,0,0,0,0,0,2,6,40,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,83.5,6.0,0.7863,0.382,0.7378,2.6976
5126,1,0,0,0,0,593528,0,0,2,1,0,0,0,1,6,39,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83.6,14.0,0.6692,0.6292,1.4780000000000002,1.7588
5127,1,0,0,0,0,593528,0,0,1,1,0,0,0,1,6,39,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,92.5,2.0,1.0786,0.703,0.0006,3.3616
5128,0,0,0,0,1,593528,0,0,1,0,0,0,0,1,6,39,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78.1,13.0,-0.6676,-0.8121,-1.2124,2.0905
5129,0,1,0,0,0,593528,0,0,0,0,0,0,0,1,6,39,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,91.6,5.0,0.7483,0.2722,-0.213,2.1981
5130,0,0,0,0,1,593160,0,0,1,2,0,0,0,0,6,38,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,91.6,11.0,0.1652,1.1245,-0.8535,2.9633
5131,0,0,0,1,0,593160,0,0,1,1,0,0,0,0,6,38,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83.4,14.0,0.6045,0.626,0.1132,0.8772
5132,1,0,0,0,0,593160,0,0,0,1,0,0,0,0,6,38,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78.9,8.0,-0.4534,-0.7571,0.2429,1.695
5133,0,1,0,0,0,593160,0,0,0,0,0,0,0,0,6,38,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,92.5,6.0,0.2507,1.1662,0.3968,2.3325
5134,0,0,0,1,0,460086,1,0,0,1,0,0,0,2,5,34,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79.2,4.0,-1.1985,-0.9793,-0.3309,2.855
5135,0,1,0,0,0,460086,1,0,0,0,0,0,0,2,5,34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,84.6,9.0,0.7406,0.613,0.2777,1.6024
5136,1,0,0,0,0,461235,1,0,3,2,0,0,0,1,5,33,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93.1,11.0,0.4205,1.1047,-0.0999,3.2581
5137,0,0,0,1,0,461235,1,0,3,2,0,0,0,1,5,33,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,93.1,12.0,0.6524,1.1874,0.9205,4.3982
5138,0,0,0,1,0,461235,1,0,2,2,0,0,0,1,5,33,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93.4,12.0,0.8459,0.9332,0.9103,2.3647
5139,0,0,0,1,0,461235,1,0,2,2,0,0,0,1,5,33,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,89.7,13.0,-0.3889,0.7414,-0.9131,1.6799
5140,0,0,1,0,0,461235,1,0,2,1,0,0,0,1,5,33,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,88.8,13.0,-0.4953,0.6175,-2.4412,1.5401
5141,0,0,1,0,0,461235,1,0,1,1,0,0,0,1,5,33,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,93.6,14.0,0.9527,0.9452,1.1868,1.3191
5142,0,0,0,0,1,461235,1,0,0,1,0,0,0,1,5,33,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,92.7,4.0,0.2451,1.1439,-0.6128,2.5192
5143,0,0,0,1,0,461235,1,0,0,0,0,0,0,1,5,33,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,83.9,5.0,0.5015,0.6492,0.2413,2.4109
5144,1,0,0,0,0,444876,0,0,2,1,0,0,0,0,5,32,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,89.3,13.0,-0.3626,0.7101,-1.1213,2.1167
5145,0,0,1,0,0,444876,0,0,1,1,0,0,0,0,5,32,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,89.1,13.0,-0.3178,0.8777,-2.2253,2.185
5146,0,0,1,0,0,444876,0,0,0,1,0,0,0,0,5,32,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,78.3,7.0,-0.7498,-0.8616,-0.438,1.8075
5147,0,1,0,0,0,444876,0,0,0,0,0,0,0,0,5,32,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,92.3,8.0,0.8953,0.8365,0.0368,1.8544
5148,0,0,0,0,1,519058,1,0,1,1,0,0,0,2,4,28,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,92.9,14.0,0.901,0.8541,0.8014,1.15
5149,0,0,0,0,1,519058,1,0,0,1,0,0,0,2,4,28,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80.5,4.0,-0.7049,-0.6498,-0.5818,2.394
5150,0,1,0,0,0,519058,1,0,0,0,0,0,0,2,4,28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,85.3,9.0,0.7508,0.33,0.5445,1.3219
5151,1,0,0,0,0,521692,0,0,0,2,0,0,0,1,4,27,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,81.1,7.0,-0.7719,-0.8704,-0.4889,1.826
5152,0,1,0,0,0,521692,0,0,0,2,0,0,0,1,4,27,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93.0,11.0,0.4446,1.2252,-0.9662,3.0915
